Site,Pool,Perimeter,MaxDepth,LevelHeight,TideHeight,SA,Vol
Bodega,1,2.42,18,1.7,1.575854,0.37,16.28923635
Bodega,2,1.9,22,1.81,1.465854,0.43,16.58976043
Bodega,3,3.5,18,1.93,1.345854,0.34,10.16243331
Bodega,4,4.02,15.5,1.53,1.745854,0.46,13.83144278
Bodega,5,3.8,7,1.58,1.695854,0.37,14.96409386
Bodega,6,2.1,10,1.58,1.695854,0.25,9.952155405
Bodega,7,3.91,11,1.81,1.465854,0.48,17.02915497
Bodega,8,3.9,17,1.57,1.705854,0.5,21.87266936
Bodega,9,4.3,11,1.67,1.605854,0.7,23.80407858
Bodega,10,2.7,11,2.04,1.235854,0.4,15.40433697
Bodega,11,1.45,15,1.64,1.635854,0.16,7.617165064
Bodega,12,3.86,25,1.8,1.475854,0.6,26.6143038
Bodega,13,6.41,38,1.72,1.555854,1.52,94.13605681
Bodega,14,3.55,40,1.4,1.875854,1.5,97.87223633
Bodega,15,2.2,16,1.9,1.375854,0.22,10.26189773
BobCreek,1,3.39,24,1.65,2.78,0.58,26.28472385
BobCreek,2,2.64,19,2.46,1.97,0.78,20.49162013
BobCreek,3,2.46,15,2.63,1.8,0.55,11.69591099
BobCreek,4,3.5,18,2.63,1.8,0.38,14.10978275
BobCreek,5,2.45,16,2.2,2.23,0.26,4.815090513
BobCreek,6,4.41,17,2.28,2.15,0.63,28.15350864
BobCreek,7,4.47,21,2.02,2.41,0.65,64.34104509
BobCreek,8,5.81,23,2.06,2.37,0.97,64.0626337
BobCreek,9,2.2,22,1.91,2.52,0.22,8.058892443
BobCreek,10,2.37,20,1.97,2.46,0.26,14.58795102
BobCreek,11,3.96,15,2.06,2.37,0.43,13.80347957
BobCreek,12,2.7,23,2.03,2.4,0.45,18.26805652
BobCreek,13,2.14,32,1.89,2.54,0.43,41.21289443
BobCreek,14,1.98,25,1.9,2.53,0.34,16.43369173
BobCreek,15,4.55,23,1.87,2.56,0.47,26.74941523
CDM,1,2.7,13,1.87,1.070927,0.28,3.725494997
CDM,2,4.7,44,1.86,1.080927,2.3,120.2414264
CDM,3,4.4,35,1.9,1.040927,0.98,75.61082633
CDM,4,4.35,27,1.52,1.420927,0.81,28.45405312
CDM,5,2.64,14,1.45,1.490927,0.32,9.083876483
CDM,6,4,28,1.65,1.290927,0.33,36.40816816
CDM,7,7.15,30,1.97,0.970927,1.88,127
CDM,8,2.89,5,1.74,1.200927,0.4,9.283497501
CDM,9,6.12,17,1.96,0.980927,0.51,18.90995534
CDM,10,3.5,16,2.25,0.690927,0.47,18.14412593
CDM,11,3.05,22,1.82,1.120927,0.48,24.63805539
CDM,12,4.32,14.5,1.74,1.200927,0.33,10.70865291
CDM,13,1.95,15,1.94,1.000927,0.2,7.617714732
CDM,14,4.18,19,2.18,0.760927,0.75,19.55277543
CDM,15,2.52,22,2.12,0.820927,0.51,42.4342988
Monterey,1,5.22,20,1.96,1.36,0.91,25.00188013
Monterey,2,2.61,16,2.04,1.28,0.47,14.99408506
Monterey,3,2.11,17,2.2,1.12,0.35,9.852560888
Monterey,4,,,,,0.71,
Monterey,5,2.87,16,1.47,1.85,0.33,14.33902427
Monterey,6,1.82,22,1.75,1.57,0.39,13.95048813
Monterey,7,2.93,25,1.78,1.54,0.59,22.87643853
Monterey,8,5.79,45,2.02,1.3,1.54,96.75493
Monterey,9,,,,,0.51,
Monterey,10,2.42,20,1.51,1.81,0.53,18.50981785
Monterey,11,2.47,15,2.04,1.28,0.3,37.15523534
Monterey,12,4.9,42,1.36,1.96,1.29,38.86333106
Monterey,13,3.2,27,1.4,1.92,0.43,21.58976188
Monterey,14,2.02,22,1.73,1.59,0.21,10.71415707
Monterey,15,4.61,12,1.71,1.61,0.66,16.45273572
